|vacancy|is_trainee|is_junior|is_middle|is_senior|is_lead|conditions
10|Customer Success Manager|0|0|0|0|0|[]
11|Customer Support Manager|0|0|0|0|0|[]
12|Customer Support Specialist|0|0|0|0|0|['Official salary meal compensation temporary contract (maternity leave) офис на мцк нижегородская free parking', 'Официальное трудоустройство конкурентная заработная плата медицинская страховка офис в центре города возможность профессионального роста тимбилдинги и незабываемые корпоративы.', 'Вечерний рабочий график: на период обучения (примерно 1 месяц): с 18-00 до 03-00 после прохождения обучения: с 16-00 до 01-00 (зимний период) с 15-00 до 24-00 (летний период) корректировку графика и нюансы можно обсуждать работа на дому обучение оплачивается работодателем', 'Конкурентная заработная плата. комфортный офис и рабочее место. офис — район м.выдубичи. посменный график работы: 2/2, день (7−19.00)/ночь (19−7.00). возможность профессионального и карьерного роста. соц.пакет, 100% оплата отпусков и больничных. бесплатные уроки английского языка (3 часа в неделю). свое кафе для сотрудников (где очень вкусно готовят). кофе, фрукты, печеньки в офисе. направляй резюме, мы ждем тебя в своей команде!']
15|Data Scientist|0|1|0|0|0|[]
13|Data Scientist|0|0|0|0|0|['График работы 5/2', 'Офис: красноярск.', 'Бюджет на обучение', 'Оплачиваемые обеды', 'Отпуск + 5 day off', 'Competitive salary', 'Корпоративный обед', 'График работы 5/2.', 'График работы: 5/2', 'Оплата конференций', 'Релокационный пакет', 'Офис: м. кунцевская', 'График работы – 5/2', 'Оформление по тк рф', 'Гибкий рабочий день', 'Бесплатный спортзал', 'Полный рабочий день', 'Служебный транспорт', 'Разноплановые задачи', 'Компенсация питания.', 'Оформление по тк рф.', 'Офис в центре города', 'Friendly environment', 'Дружеская атмосфера.', 'Гибкий график работы']
14|Data Scientist|0|0|0|1|0|['Возможность участвовать в амбициозных проектах крупнейшего банка страны', 'Территориальное месторасположение – м. невский проспект, ул. итальянская', 'Пакет дмс со страхованием при выезде за рубеж после испытательного срока', 'Конкурентная заработная плата cоциальный пакет (дмс, нпф, льготные путевки)', 'Разнообразные и интересные задачи в области моделирования бизнес-показателей', 'Конкурентоспособная заработная плата, ежегодная премия по результатам работы', 'Заработная плата и размер ежеквартальных премий обсуждаются с успешным кандидатом', 'Социальный пакет: полис дмс со стоматологией, компенсация питания, компенсация спорта', 'Досуговые мероприятия (кинотеатры, выставки и др). корпоративные тарифы на сотовую связь', 'Возможности для профессионального и личностного роста в динамично развивающемся коллективе большой компании', 'Бессрочный трудовой договор, офис в центре города, гибкий график работы пн-пт, отсутствие строгого дресс-кода', 'Что мы предлагаем: full-time позицию с конкурентным уровнем заработной платы, квартальное и годовое премирование', 'Участие в конференциях, обмен опытом, написание научно-популярных статей и публикация их на топовых интернет площадках', 'Уровень заработной платы , который зависит от ваших технических знаний и навыков, состоит из оклада и годового премирования', 'Возможность увидеть своими глазами, как работают крупнейшие предприятия россии и быть причастным к повышению их эффективности', 'Корпоративные мероприятия: новый год, командные выезды, участие в интеллектуальных играх. еще мы помним о ваших детях и дарим подарки на новый год', 'Социальный пакет (медицинская страховка, спортивный зал, образовательные программы на базе корпоративного университета сбербанка, корпоративные льготы)', 'Оформление по тк рф график работы: 5/2, 9.30-18.30 (10.00-19.00) ближайшие станции метро: курская, красные ворота, бауманская заработная плата по результатам собеседования', 'Отличный офис с комфортным рабочим пространством, уютными кухнями с кофемашинами, столовой, кафе, фитнес залом, салоном красоты, зонами отдыха, свежими фруктами и закусками', 'Знания: индивидуальный план обучения с учебными курсами и поездками на конференции за счет работодателя, а еще у вас будет возможность попробовать себя в роли спикера или ментора', 'Дмс чай/кофе, фрукты в офисе спортзал и спортивные программы места для отдыха настольный теннис, несколько play station, кикер, бильярд профессиональное обучение, митапы, тренинги, конференции парковка', 'Заботу о здоровье: корпоративную программу дмс (включает стоматологию, обследования, лечение заболеваний и т.д.), бесплатный тренажерный зал, страхование жизни, посещение корпоративного санатория в крыму одному или с семьей', 'Интересные задачи с возможностью самим вести свой проект профессиональное развитие обучение и участие в соревнованиях дружная команда из молодых профессионалов возможность поучаствовать в разработке нового уникального продукта.', 'Динамическое профессиональное развитие в области машинного обучения и опыт его практического применения в банковских процессах. уникальную возможность стать частью команды, выстраивающей управление модельным риском в крупнейшем банке рф', 'Особые условия для сотрудников: льготные условия кредитования, специальные курсы обмена валюты, дисконт-программы от партнеров банка. если вам нравится идея превратить «главный» банк россии в передовую сервисную экосистему, будем рады увидеть вас в команде !']
16|DevOps Engineer|0|0|0|0|0|['Комфортный офис', '2016 – камчатка', '31 день отпуска', 'Работа в команде', 'Соблюдение тк рф', 'Оформление по тк', 'Оформим по тк рф', '5 day off в году', 'Отсутствие скуки', 'Чай/кофе в офисе', 'Социальный пакет', 'Пт на час короче', 'С 10:00 до 19:00', 'Знание языка sql', 'Социальный пакет.', 'График работы 2/2', 'Интересные задачи', '2015 – коста-рика', 'График работы 5/2', 'Полный соц. пакет', 'Молодой коллектив', 'Оплачиваемые обеды', 'С 11:00 до 20:00 )', 'Дмс + офисный врач', 'Квартальные бонусы']
17|DevOps Engineer|0|0|0|1|0|['Работа в стабильной, динамично развивающейся компании в полном соответствии с тк рф. перспектива профессионального роста, возможность обучения. дмс, страхование жизни. уровень заработной платы обсуждается по итогам собеседования.', 'Работа в сильной команде единомышленников адекватное руководство, отсутствие бюрократии большие возможности для профессионального роста гибкий график работы в офисе с 11 до 20 современный офис в 5 минутах от метро бауманская большое число заведений вокруг с разнообразными обедами', 'Работа в офисе, плавающий график офис в шаговой доступности от метро оформление по тк рф действительно дружный коллектив. все офисные плюшки (зал, английский в будущем, еда на кухне и пр) зп указана на испытательный срок, фактический размер уточняется на собеседовании (+ премии, льготы, индексация). динамика и возможность расти.']
18|Digital Marketing Manager|0|0|0|0|0|['Оформление по тк рф', 'Компенсация питания', 'Скидка на продукцию', 'Оформление по тк рк', 'Интересные проекты.', 'Оформление по тк рф.', 'Корпоративные скидки', 'Гибкий график работы', 'Офис в центре города', 'Собственный спортзал', 'Устное собеседование', 'Уютный офис в центре', 'Дмс для родственника', 'Корпоративное питание', 'Оклад (120к) +бонусы.', 'Знание: html, css, js', 'Отсутствие дресс-кода', 'Социальный пакет (дмс', 'Корпоративная парковка', 'Работа в центре города', 'Интересные спецпроекты', 'Место работы: в центре', 'Офисные печеньки и чай', 'Возможны командировки.', 'Соблюдение норм тк рф.']
19|Digital Marketing Manager|1|0|0|0|0|['Отличные условия для быстрого профессионального роста', 'Корпоративные мероприятия с участием артистов лейбла.', 'Комфортные условия труда, индивидуальное рабочее место', 'Пятидневка с 9 до 18-00 работа в офисе (ул. татищева).', 'Сильное желание развиваться в направлении digital / smm', 'Предусмотрено обучение по всем выполняемым обязанностям', 'Работа в офисе, график работы: с 9 до 18 или с 10 до 19', 'Территориально г. ижевск (возможно работать удаленно из дома)', 'На время ученичества или прохождения практики договор подряда', '3.возможность достижения своих целей вместе с целями компании', '2.положительное отношение руководства к проявлению инициативы', '3.возможность достижения своих целей вместе с целями компании.', 'Стажировка 5 рабочих дней. бонусы: квартальная и годовая премия', 'Широкий кругозор и способность быстро схватывать новый материал', 'Гибкий график работы обсуждается индивидуально с каждым стажером', 'По итогам стажировки официальное трудоустройство, социальный пакет', 'Обучение сертифицированными специалистами с большим опытом в маркетинге', 'Во время стажировки белая заработная плата выплачивается в полном объеме', 'Оклад обсуждается лично с успешным кандидатом большие перспективы развития', 'Приятная атмосфера: любим вместе ходить в кино и играть в покер по пятницам:)', 'Удаленная работа. возможна работа в офисе. возможна дальнейшее трудустройство.', 'Умение быстро погружаться в сложные тематики (авиационная, медицинская и т.д.).', 'Первые три месяца в период испытательного срока заработная плата до 20000 рублей', 'Современный офис в 3-х минутах от метро северный вокзал обучаем и делимся опытом', '4.комфортный офис, удобное расположение от ст. м. новочеркасская 5-7 мин. ходьбы.']
20|Frontend-разработчик|0|0|0|0|0|['Работа 5/2', 'Соц.пакет.', 'Полис дмс.', 'График 5/2', 'Соц. пакет', 'Code review', 'График: 5/2', 'Уютный офис', 'Корпоративы', '2017 – бали', 'Стабильность', 'Зп обсуждаем', 'Хороший офис', 'Премирование', 'Льготный дмс', 'Офис в парке', 'Любой регион', 'Уютный офис.', 'Написание js', 'Гибкий график', 'Кухня в офисе', 'Оплата обедов', 'Годовой бонус.', 'Гибкий график.', 'Работа в офисе']
21|Frontend-разработчик|0|0|0|1|0|['Работа в крупнейшем банке россии', 'Отличный офис на м. белорусская.', 'Регулярное корпоративное обучение', 'Оформление в соответствии с тк рф', 'Оформление по тк удаленная работа', 'Расширенный компенсационный пакет.', 'Программа компенсации затрат на обеды', 'Яркая и насыщенная корпоративная жизнь', '-регулярный пересмотр заработной платы', 'Обеспечение всем необходимым для работы', 'Любая техника на выбор (macbook или imac)', 'Персональный ноутбук (macbook или lenovo)', 'Чaй, кoфe и хopoшee нacтpoeниe пpилaгaютcя', 'Оформление по тк рф (с первого дня работы)', 'Программа компенсации медицинских расходов', 'Обучение английскому языку за счет компании', 'Условия гибкий график работы белая зарплата', 'Дружный, весёлый и профессиональный коллектив', 'Умения применять на практике принципы ооп и фп', 'Есть выстроенный процесс continuous integration', '-работа в команде высококлассных профессионалов', 'Возможность один день в неделю работать удаленно', 'Возможность профессионального и карьерного роста', 'Работа в связке со специалистами высокого уровня.', 'Заработная плата обсуждается с успешным кандидатом.']
22|Frontend-разработчик|0|0|1|0|0|['Возможность профессионального и карьерного роста', 'После испытательного срока медицинское обслуживание', 'Специальные условия от банков-партнеров и многое другое)', 'Официальная заработная плата обсуждается на собеседовании', 'Удобный офис в центре москвы, шаговая доступность от метро', 'Частичная компенсация стоимости профессионального обучения.', 'Корпоративное обучение, электронная библиотека и база знаний', 'Заработная плата по результатам собеседования успешного кандидата', 'Официальное трудоустройство в крупнейшей управляющей компании россии', 'Дополнительное обучение, тренинги, конференции, курсы за счет компании', 'График работы: 5-ти дневная рабочая неделя (выходные суббота, воскресенье)', 'Регулярный пересмотр заработной платы и стабильная выплата заработной платы', 'Уровень заработной платы обсуждается по итогам собеседования. ждём ваше резюме!', 'Удалённая работа или офис в кирове (кировская область) с графиком 10:00 – 18:00 (мск)', 'Регулярные корпоративы (как литературные вечера, так и не совсем литературные вечера :).', 'Регулярные (несколько раз в течение года) повышения заработной платы в соответствии с ростом ваших скиллов и качества работы', 'Оплачиваемые сверхурочные часы (которых не может не быть с крупными российскими брендами) станут приятным дополнением к заработной плате', 'Программа лояльности для сотрудников компании (корпоративные скидки на дмс, изучение иностранных языков, страхование, фитнес, путешествия', 'Официальное оформление по тк полный день, но есть возможность гибкого графика работы заработная плата – по результатам собеседования (от 350 тыс тг.)', 'Официальное трудоустройство, график работы и условия труда в соответствии с тк рф уровень заработной платы – до 100 000 рублей, по итогам собеседования', 'Достойная заработная плата комфортные условия работы профессиональный и карьерный рост у нас нет hr, поэтому заранее просим прощения, если вам не ответят', 'Работа в офисе в самом центре города в современном бц (пл. горького, бц кулибин), можно работать из дома полный рабочий день свободный и гибкий график оформление по тк рф', 'Полная занятость работа в центре москвы хорошая заработная плата плюсом будет: опыт работы с большими данными знание других языков программирования опыт разработки backend', 'Офис в центре города. уровень зарплаты, точные обязанности и занятость — по итогам собеседования и тестового задания. присылайте нам свое резюме, сопроводительное письмо и портфолио.', 'Официальное оформление в соответствии с трудовым законодательством рк полный день, но есть возможность гибкого графика работы заработная плата – по результатам собеседования (от 350 тыс тг.)']
23|Frontend-разработчик|0|1|0|0|0|['Условия оформление по тк рф. график с 9 до 18ч. комфортный офис бц пальмира , м. бауманская/электрозаводская. реальная возможность карьерного роста.', 'График работы 5/2, 9-30 18-30. работа в дружном коллективе в стабильной современной компании комфортный офис в центре города: м. павелецкая белая заработная плата', '— рассматриваем так же стажёра без коммерческого опыта, но с учебным и экспериментальными проектами. оплата от 18 000 руб. при отклике опишите, пожалуйста, последнюю интересную задачу, над которой вы работали.', 'Оформление строго в соответствии тк рф обучение за счёт компании (сразу отдадим на курсы по vuejs) дружный коллектив с опытным js разработчиком гибкий график с плавающим началом рабочего дня комфортный офис в пешей доступности от метро расположен в 3 минутах ходьбы от станции метро «савёловская»', 'Условия и плюшки: современный технологический стек маленькая команда и большие возможности роста ориентированность на результат, а не процесс бонусы к зарплате при хорошем перфомансе гибкий рабочий график (реально гибкий, а не ну, можешь прийти на час позже ) бонусы ремоут понимающее отношение, если вы студент', 'График работы: 5/2, (8:00-17:00, 9:00-18:00, 10.00-19.00), возможна удаленная работа полное соблюдение тк, белая заработная плата соц.пакет (льготы от партнеров на кредитование, сотовую связь, скидки на посещение фитнес-клубов, тур. агентства и т.д.) корпоративные и спортивные мероприятия (в том числе корпоративный беговой клуб) корпоративное обучение бесплатная парковка на территории бизнес-парка', 'Разработка ведется с нуля, т.е. без легаси кода и на базе современных технологий используем vue.js (и его экосистему), es6 + babel возможность быстрого развития как специалиста полное соблюдение трудового кодекса рф социальный пакет (дмс, нс) бесплатный доступ в корпоративную электронную библиотеку: более 1000 книг по бизнесу, менеджменту, продажам, для профессионального и личного развития развитая инфраструктура бизнес-квартала (столовые, кафе, рестораны)', 'Условия труда: современный офис с тренажерами, office kitchens и банкоматами столовые в офисах и скидки на питание. обучение и карьера: вендорное обучение и сертификация за счет компании. обучение английскому и общение с иностранными заказчиками. возможность участия в техническом и управленческом кадровом резерве. экология и благотворительность: помогаем детским домам, школам, приютам для животных озеленяем город, бережем ресурсы поддерживаем социальные инициативы сотрудников', 'Условия работы оформление по тк рф с первого дня работы. офис в 10 минутах ходьбы от м. бауманская. график работы: понедельник – пятница, плавающее начало рабочего дня с 8:00 до 10:00, 10 минут каждого часа (кроме первого и последнего) технический перерыв. чем конкретно мы просим вас заняться : участие в новых и поддержка старых проектов. заработная плата на основании собеседования и тестового задания . на испытательный срок (до 3-х месяцев) от 45 000 на руки. по окончании испытательного срока до 55 000 на руки. бонусы оплачиваемое обучение, участие в профильных конференциях корпоративные мероприятия чай, кофе, печеньки для хорошего настроения', '· заработная плата по итогам собеседования · трудоустройство по тк рф · стабильная белая заработная плата · перспектива профессионального развития и самореализации · гибкий рабочий график · современный офис в центральном районе‚ недалеко от станции метро маршала покрышкина · молодой и дружный коллектив · курсы английского и немецкого языка · компенсация спортивных занятий офис компании находится по адресу: ул. писарева, г. новосибирск ждем ваше резюме! просим обратить внимание: данная вакансия подразумевает нахождение в офисе компании полный рабочий день, после прохождения испытательного срока есть возможность при необходимости удаленной работы несколько дней в неделю. также просим внимательно ознакомиться с требованиями к вакансии. мы используем angular. если кандидату будет предложено выполнить тестовое задание, то его необходимо будет выполнить на angular.']
